"platName","compname","avg_revenue","投资期限","注册资金","自动投标","债权转让","资金托管","投标保障","保障模式","担保机构","业务类型","xingzhi","考察报告","risk_capital","user_capital","if_tuoguan","platId","allPlatPin","problem_time","online_tine","re_capital","origin","待收金额","涉及人数","event"
"鼓腰包","gyb","12%",NA,"5000万元",NA,NA,"用户资金托管托管机构为汇付天下",NA,NA,NA,NA,"民营系",NA,NA,"汇付天下",1,1082,"guyaobao","2016.04","2014.11","5000.00万元","四川","NA","NA","停业"
"固金所","gjs","9.22%","1月标(29.7%)、2月标(27.6%)等","5000万元","不支持",NA,"无托管","保本保息","小贷公司、融资性担保公司、非融资性担保公司、平台垫付",NA,"个人信用贷(10%)、房贷(90%)",NA,"2015.10.13上海固金所参观考察报告【盈灿咨询】2015-10-19",NA,NA,0,1949,"gujinsuo",NA,NA,NA,NA,NA,NA,"1"
"呱呱贷","ggd","19%",NA,"1000万元","不支持","不可转让","无托管",NA,NA,NA,NA,"民营系",NA,NA,NA,0,203,"guaguadai","2015.01","2012年","1000.00万元","山东","NA","NA","提现困难"
"官银储","gyc","22%","1月标(90.0%)、天标(10.0%)","3000万元","支持","6个月","无托管","本息担保","非融资性担保公司、风险准备金(300万元)",NA,"车贷(20%)、房贷(50%)、银行过桥(30%)","民营系",NA,NA,NA,0,1070,"guanyinchu","2015.11","2014.11","3000.00万元","广东","NA","NA","停业"
"管金贷","gjd1",NA,"1月标(10.0%)、2月标(5.0%)等","1000万元",NA,NA,"用户资金托管托管机构为双乾网络",NA,NA,NA,NA,NA,NA,NA,"双乾网络",1,4237,"guanjindai",NA,NA,NA,NA,NA,NA,"1"
"冠丰投资","gftz",NA,NA,"2000万元",NA,NA,"无托管",NA,NA,NA,NA,NA,NA,NA,NA,0,2791,"guanfengtouzi","2015.09","2015.08","2000.00万元","河北","NA","NA","跑路"
"冠腾投资","gttz","17.5%","3月标(40.0%)、2月标(30.0%)等","1000万元","支持",NA,"用户资金托管托管机构为环迅支付","本息保障","融资性担保公司、平台垫付",NA,"车贷(50%)、房贷(50%)","民营系",NA,NA,"环迅支付",1,4139,"guantengtouzi",NA,NA,NA,NA,NA,NA,"1"
"冠宇投资","gytz",NA,NA,"1000万元",NA,NA,"无托管",NA,NA,NA,NA,NA,NA,NA,NA,0,3216,"guanyutouzi","2014.12","2014.1","1000.00万元","山东","914.86万元","NA","提现困难"
"光彩玖玖","gcjj","14%",NA,"5000万元","不支持","随时","无托管","本息保障","融资性担保公司",NA,NA,"民营系",NA,NA,NA,0,778,"guangcaijiujiu",NA,NA,NA,NA,NA,NA,"1"
"光大分利宝","gdflb",NA,"3月标(33.0%)、天标(14.0%)等","20000万元",NA,"随时","用户资金存管托管机构为华兴银行",NA,"融资性担保公司",NA,"企业信用贷(50%)、车贷(10%)、房贷(10%)、供应链(30%)",NA,NA,NA,NA,1,4401,"guangdafenlibao",NA,NA,NA,NA,NA,NA,"1"
"光大富尊","gdfz",NA,NA,"万元",NA,NA,"无托管",NA,NA,NA,NA,NA,NA,NA,NA,0,3457,"guangdafuzun","2014.07","NA","80000.00万元","上海","NA","NA","跑路"
"光大信投","gdxt",NA,NA,"1000万元",NA,NA,"无托管",NA,NA,NA,NA,NA,NA,NA,NA,0,2302,"guangdaxintou","2013.11","2013.09","NA","江苏","NA","NA","提现困难"
"光合种子","ghzz",NA,"4-6月标(30.0%)、3月标(20.0%)等","5000万元","支持","1个月","用户资金托管托管机构为易宝支付","风险准备金垫付","平台垫付、风险准备金(265万元)",NA,"车贷(10%)、房贷(70%)、银行过桥(20%)","民营系",NA,NA,"易宝支付",1,2199,"guanghezhongzi",NA,NA,NA,NA,NA,NA,"1"
"光华财缘网","ghcyw","13%","1月标(60.0%)、4-6月标(30.0%)等","1000万元","支持","不可转让","用户资金托管托管机构为双乾网络支付有限公司",NA,NA,NA,"个人信用贷(50%)、车贷(30%)、房贷(20%)",NA,NA,NA,"双乾网络支付有限公司",1,1944,"guanghuacaiyuanwang",NA,NA,NA,NA,NA,NA,"1"
"光华永贷","ghyd",NA,NA,"1000万元",NA,NA,"无托管",NA,NA,NA,NA,NA,NA,NA,NA,0,2878,"guanghuayongdai","2015.05","2014.1","1000.00万元","重庆","NA","NA","提现困难"
"光世界金融","gsjjr","8.8%",NA,"5000万元","支持",NA,"无托管",NA,NA,NA,NA,NA,NA,NA,NA,0,1357,"guangshijiejinrong","2015.11","2015.04","5000.00万元","广东","NA","NA","跑路"
"广安宏润","gahr","20%",NA,"1500万元","不支持","不可转让","无托管",NA,NA,NA,NA,"民营系",NA,NA,NA,0,855,"guanganhongrun","2016.03","2014.07","1500.00万元","山东","NA","NA","停业"
"广筹网","gcw","10%","1月标(70.0%)、2月标(30.0%)","5000万元","支持","随时","无托管","风险准备金","风险准备金(100万元)","中金华通投资担保有限公司(承保500万)","车贷(80%)、房贷(20%)","国资系",NA,NA,NA,0,1433,"guangchouwang","2015.1","2014.12","5000.00万元","北京","NA","NA","跑路"
"广电财富","gdcf","8%",NA,"1000万元","不支持",NA,"用户资金托管托管机构为易宝支付",NA,"供应链金融",NA,"供应链(100%)",NA,NA,NA,"易宝支付",1,3903,"guangdiancaifu",NA,NA,NA,NA,NA,NA,"1"
"广发财富","gfcf9","18%","1月标(80.0%)、2月标(15.0%)等","1000万元","支持",NA,"无托管","VIP100％的本息保障","纯中介平台",NA,"个人信用贷(24%)、车贷(18%)、房贷(58%)","民营系",NA,NA,NA,0,2252,"guangfacaifu","2016.05","2015.03","1000.00万元","广西","NA","NA","停业"
"广发贷","gfd",NA,NA,"1000万元",NA,NA,"无托管",NA,NA,NA,NA,NA,NA,NA,NA,0,2902,"guangfadai","2015.04","2013.07","500.00万元","山东","NA","NA","提现困难"
"广发金融","gfjr","18%","1月标(95.0%)、天标(5.0%)","6000万元","支持","1个月","无托管","VIP保本保息","小贷公司、融资性担保公司、非融资性担保公司、平台垫付、风险准备金(50万元)","山东呈瑞新能源科技有限公司(承保3000万)","车贷(70%)、房贷(30%)","民营系",NA,NA,NA,0,1762,"guangfajinrong",NA,NA,NA,NA,NA,NA,"1"
"广佛e家","gfej","12%","1月标(40.0%)、2月标(30.0%)等","3000万元","不支持","不可转让","用户资金托管托管机构为汇付天下","VIP保本保息","风险准备金(42万元)",NA,"个人信用贷(5%)、车贷(20%)、房贷(40%)、银行过桥(5%)、债券流转(20%)、供应链(10%)","民营系",NA,NA,"汇付天下",1,1445,"guangfoejia",NA,NA,NA,NA,NA,NA,"1"
"广富宝","gfb","14.08%","1月标(11.9%)、3月标(2.2%)等","100万元","支持","随时","无托管","本金垫付","风险准备金(50万元)",NA,"车贷(98%)、房贷(2%)","民营系",NA,NA,NA,0,220,"guangfubao",NA,NA,NA,NA,NA,NA,"1"
"广汇融","grh",NA,"1月标(50.0%)、2月标(30.0%)等","3800万元","不支持",NA,"无托管","VIP保本保息","平台垫付",NA,"车贷(100%)","民营系",NA,NA,NA,0,3964,"guanghuirong",NA,NA,NA,NA,NA,NA,"1"
"广惠人","ghr","18%","1月标(99.0%)、天标(1.0%)","5000万元","支持","随时","用户资金托管托管机构为乾多多、风险准备金托管托管机构为双乾","vip保本保息","小贷公司",NA,"车贷(70%)、房贷(30%)",NA,NA,"双乾","乾多多",1,1550,"guanghuiren","2015.12","2014.12","5000.00万元","湖南","NA","NA","提现困难"
"广佳贷","gjd",NA,NA,"5000万元",NA,NA,"无托管",NA,NA,NA,NA,NA,NA,NA,NA,0,3886,"guangjiadai","2015.12","NA","5000.00万元","浙江","NA","NA","跑路"
"广聚财富","gjcf",NA,NA,"700万元",NA,NA,"无托管",NA,NA,NA,NA,NA,NA,NA,NA,0,3036,"guangjucaifu","2015.02","2014.07","700.00万元","山东","NA","NA","停业"
"广融贷","grd",NA,NA,"3000万元","不支持","不可转让","无托管",NA,NA,NA,NA,"民营系",NA,NA,NA,0,111,"guangrongdai","2014.01","2012年","500.00万元","浙江","2000.00万元","NA","提现困难"
"广融钱多多","grqdd",NA,NA,"1000万元",NA,NA,"无托管",NA,NA,NA,NA,NA,NA,NA,NA,0,3094,"guangrongqianduoduo","2015.01","2014.06","1000.00万元","四川","NA","NA","跑路"
